"Assay ID - IEDB IRI","Epitope - IEDB IRI","Complex - PDB ID"
http://www.iedb.org/assay/5,http://www.iedb.org/epitope/77408,1FBI
http://www.iedb.org/assay/14,http://www.iedb.org/epitope/77413,1WEJ
http://www.iedb.org/assay/31,http://www.iedb.org/epitope/2218021,1C08
http://www.iedb.org/assay/32,http://www.iedb.org/epitope/2134780,1H0D
http://www.iedb.org/assay/33,http://www.iedb.org/epitope/190616,1FJ1
http://www.iedb.org/assay/164,http://www.iedb.org/epitope/189939,1OSP
http://www.iedb.org/assay/165,http://www.iedb.org/epitope/2134651,1XIW
http://www.iedb.org/assay/167,http://www.iedb.org/epitope/2134650,1SY6
http://www.iedb.org/assay/210,http://www.iedb.org/epitope/2134775,1JRH
http://www.iedb.org/assay/373,http://www.iedb.org/epitope/77490,1NSN
http://www.iedb.org/assay/375,http://www.iedb.org/epitope/225196,2JEL
http://www.iedb.org/assay/377,http://www.iedb.org/epitope/2134680,1EGJ
http://www.iedb.org/assay/378,http://www.iedb.org/epitope/2218056,1YJD
http://www.iedb.org/assay/462,http://www.iedb.org/epitope/77382,1BGX
http://www.iedb.org/assay/871,http://www.iedb.org/epitope/2134744,1AHW
http://www.iedb.org/assay/961,http://www.iedb.org/epitope/2134742,1UJ3
http://www.iedb.org/assay/964,http://www.iedb.org/epitope/102278,1MHP
http://www.iedb.org/assay/965,http://www.iedb.org/epitope/77277,1BZQ
http://www.iedb.org/assay/1919,http://www.iedb.org/epitope/2218003,1SQ2
http://www.iedb.org/assay/1984,http://www.iedb.org/epitope/2135123,1N8Z
http://www.iedb.org/assay/2054,http://www.iedb.org/epitope/122063,1OB1
http://www.iedb.org/assay/2211,http://www.iedb.org/epitope/2135141,1NL0
http://www.iedb.org/assay/2525,http://www.iedb.org/epitope/77350,1FSK
http://www.iedb.org/assay/2603,http://www.iedb.org/epitope/77409,1EZV
http://www.iedb.org/assay/3294,http://www.iedb.org/epitope/77380,1RJL
http://www.iedb.org/assay/3298,http://www.iedb.org/epitope/77552,1NMB
http://www.iedb.org/assay/6518,http://www.iedb.org/epitope/2218031,1MLC
http://www.iedb.org/assay/14757,http://www.iedb.org/epitope/103766,1EO8
http://www.iedb.org/assay/14758,http://www.iedb.org/epitope/103765,1QFU
http://www.iedb.org/assay/14759,http://www.iedb.org/epitope/548909,2VIR
http://www.iedb.org/assay/24207,http://www.iedb.org/epitope/2218003,1T6V
http://www.iedb.org/assay/24208,http://www.iedb.org/epitope/96042,2VDK
http://www.iedb.org/assay/24311,http://www.iedb.org/epitope/122063,1OB1
http://www.iedb.org/assay/1004248,http://www.iedb.org/epitope/77335,2AEP
http://www.iedb.org/assay/1004281,http://www.iedb.org/epitope/177387,1NCA
http://www.iedb.org/assay/1004282,http://www.iedb.org/epitope/177390,1NCD
http://www.iedb.org/assay/1004291,http://www.iedb.org/epitope/177387,1NCB
http://www.iedb.org/assay/1004360,http://www.iedb.org/epitope/418925,1NMA
http://www.iedb.org/assay/1005672,http://www.iedb.org/epitope/77323,1QFU
http://www.iedb.org/assay/1243426,http://www.iedb.org/epitope/77000,1ZTX
http://www.iedb.org/assay/1246572,http://www.iedb.org/epitope/77491,1YNT
http://www.iedb.org/assay/1270936,http://www.iedb.org/epitope/77444,2DD8
http://www.iedb.org/assay/1275783,http://www.iedb.org/epitope/104697,2VIR
http://www.iedb.org/assay/1275786,http://www.iedb.org/epitope/77486,1A14
http://www.iedb.org/assay/1275787,http://www.iedb.org/epitope/177388,1NMC
http://www.iedb.org/assay/1336642,http://www.iedb.org/epitope/77363,1Z3G
http://www.iedb.org/assay/1397695,http://www.iedb.org/epitope/102990,2NYY
http://www.iedb.org/assay/1397742,http://www.iedb.org/epitope/102990,2NZ9
http://www.iedb.org/assay/1403284,http://www.iedb.org/epitope/77442,2GHW
http://www.iedb.org/assay/1418717,http://www.iedb.org/epitope/77406,2J88
http://www.iedb.org/assay/1475026,http://www.iedb.org/epitope/1864098,2Q8B
http://www.iedb.org/assay/1475702,http://www.iedb.org/epitope/1864098,2Q8A
http://www.iedb.org/assay/1491355,http://www.iedb.org/epitope/2135243,1LK3
http://www.iedb.org/assay/1491387,http://www.iedb.org/epitope/2134743,1JPS
http://www.iedb.org/assay/1491562,http://www.iedb.org/epitope/2134725,1I9R
http://www.iedb.org/assay/1491563,http://www.iedb.org/epitope/2134802,1IQD
http://www.iedb.org/assay/1491564,http://www.iedb.org/epitope/241578,1G6V
http://www.iedb.org/assay/1492169,http://www.iedb.org/epitope/566741,2I9L
http://www.iedb.org/assay/1492301,http://www.iedb.org/epitope/116228,1PKQ
http://www.iedb.org/assay/1495509,http://www.iedb.org/epitope/77741,2J4W
http://www.iedb.org/assay/1495535,http://www.iedb.org/epitope/77742,2J5L
http://www.iedb.org/assay/1495547,http://www.iedb.org/epitope/177385,1QLE
http://www.iedb.org/assay/1495933,http://www.iedb.org/epitope/116658,1RVF
http://www.iedb.org/assay/1497442,http://www.iedb.org/epitope/151535,2R56
http://www.iedb.org/assay/1510569,http://www.iedb.org/epitope/2135126,1S78
http://www.iedb.org/assay/1510626,http://www.iedb.org/epitope/2135097,1YY9
http://www.iedb.org/assay/1511682,http://www.iedb.org/epitope/175435,1NFD
http://www.iedb.org/assay/1511683,http://www.iedb.org/epitope/175675,1NFD
http://www.iedb.org/assay/1511684,http://www.iedb.org/epitope/164103,1KXT
http://www.iedb.org/assay/1511685,http://www.iedb.org/epitope/164104,1KXQ
http://www.iedb.org/assay/1511686,http://www.iedb.org/epitope/164105,1KXV
http://www.iedb.org/assay/1511861,http://www.iedb.org/epitope/2135422,1BJ1
http://www.iedb.org/assay/1513945,http://www.iedb.org/epitope/225981,1MVF
http://www.iedb.org/assay/1587039,http://www.iedb.org/epitope/98668,2NR6
http://www.iedb.org/assay/1599742,http://www.iedb.org/epitope/226309,3GBN
http://www.iedb.org/assay/1599743,http://www.iedb.org/epitope/226310,3GBM
http://www.iedb.org/assay/1600725,http://www.iedb.org/epitope/98658,3CFI
http://www.iedb.org/assay/1630979,http://www.iedb.org/epitope/151551,2VXQ
http://www.iedb.org/assay/1634729,http://www.iedb.org/epitope/417988,2ADF
http://www.iedb.org/assay/1637580,http://www.iedb.org/epitope/2150115,1QFW
http://www.iedb.org/assay/1637582,http://www.iedb.org/epitope/2150116,1QFW
http://www.iedb.org/assay/1638742,http://www.iedb.org/epitope/566946,3ETB
http://www.iedb.org/assay/1639229,http://www.iedb.org/epitope/104697,2VIS
http://www.iedb.org/assay/1639230,http://www.iedb.org/epitope/104697,2VIT
http://www.iedb.org/assay/1649935,http://www.iedb.org/epitope/131327,1FE8
http://www.iedb.org/assay/1650226,http://www.iedb.org/epitope/127518,1V7N
http://www.iedb.org/assay/1650227,http://www.iedb.org/epitope/127518,1V7M
http://www.iedb.org/assay/1653777,http://www.iedb.org/epitope/2135313,2FJH
http://www.iedb.org/assay/1653778,http://www.iedb.org/epitope/2135424,2FJG
http://www.iedb.org/assay/1653850,http://www.iedb.org/epitope/2135385,2J6E
http://www.iedb.org/assay/1658277,http://www.iedb.org/epitope/151560,3FMG
http://www.iedb.org/assay/1666966,http://www.iedb.org/epitope/114710,1KB5
http://www.iedb.org/assay/1667736,http://www.iedb.org/epitope/149231,1OTS
http://www.iedb.org/assay/1667737,http://www.iedb.org/epitope/149231,1OTT
http://www.iedb.org/assay/1667738,http://www.iedb.org/epitope/149231,1OTU
http://www.iedb.org/assay/1702295,http://www.iedb.org/epitope/132955,2R29
http://www.iedb.org/assay/1706905,http://www.iedb.org/epitope/134841,2DTG
http://www.iedb.org/assay/1706907,http://www.iedb.org/epitope/177400,2DTG
http://www.iedb.org/assay/1706947,http://www.iedb.org/epitope/2134838,2FD6
http://www.iedb.org/assay/1706948,http://www.iedb.org/epitope/2134724,2BDN
http://www.iedb.org/assay/1707040,http://www.iedb.org/epitope/132769,1ZA3
http://www.iedb.org/assay/1707041,http://www.iedb.org/epitope/128165,1KB9
http://www.iedb.org/assay/1707042,http://www.iedb.org/epitope/2135303,3IU3
http://www.iedb.org/assay/1708117,http://www.iedb.org/epitope/2135309,1TZI
http://www.iedb.org/assay/1708118,http://www.iedb.org/epitope/2135314,1TZH
http://www.iedb.org/assay/1708119,http://www.iedb.org/epitope/128165,1P84
http://www.iedb.org/assay/1708120,http://www.iedb.org/epitope/139652,1KYO
http://www.iedb.org/assay/1708121,http://www.iedb.org/epitope/177399,1FNS
http://www.iedb.org/assay/1708122,http://www.iedb.org/epitope/139651,1AR1
http://www.iedb.org/assay/1708124,http://www.iedb.org/epitope/132127,1OAK
http://www.iedb.org/assay/1708128,http://www.iedb.org/epitope/2135212,2VH5
http://www.iedb.org/assay/1708356,http://www.iedb.org/epitope/2135423,1CZ8
http://www.iedb.org/assay/1714919,http://www.iedb.org/epitope/145029,2ZJS
http://www.iedb.org/assay/1714925,http://www.iedb.org/epitope/2157425,3D85
http://www.iedb.org/assay/1716829,http://www.iedb.org/epitope/2135217,2JIX
http://www.iedb.org/assay/1717070,http://www.iedb.org/epitope/135616,1ADQ
http://www.iedb.org/assay/1717593,http://www.iedb.org/epitope/2134825,3BN9
http://www.iedb.org/assay/1764237,http://www.iedb.org/epitope/2217999,1FDL
http://www.iedb.org/assay/1769280,http://www.iedb.org/epitope/136908,1BQL
http://www.iedb.org/assay/1769319,http://www.iedb.org/epitope/2218034,1DQJ
http://www.iedb.org/assay/1769356,http://www.iedb.org/epitope/144834,3IXX
http://www.iedb.org/assay/1769361,http://www.iedb.org/epitope/144834,3IXY
http://www.iedb.org/assay/1769364,http://www.iedb.org/epitope/136796,1A2Y
http://www.iedb.org/assay/1770456,http://www.iedb.org/epitope/153792,2BSE
http://www.iedb.org/assay/1770476,http://www.iedb.org/epitope/2135217,2JIX
http://www.iedb.org/assay/1770520,http://www.iedb.org/epitope/144834,3I50
http://www.iedb.org/assay/1771361,http://www.iedb.org/epitope/2217998,1BVK
http://www.iedb.org/assay/1771612,http://www.iedb.org/epitope/2218001,1VFB
http://www.iedb.org/assay/1771925,http://www.iedb.org/epitope/2218028,1KIR
http://www.iedb.org/assay/1771928,http://www.iedb.org/epitope/2218000,1KIP
http://www.iedb.org/assay/1771930,http://www.iedb.org/epitope/2218000,1KIQ
http://www.iedb.org/assay/1771963,http://www.iedb.org/epitope/136912,1JHL
http://www.iedb.org/assay/1772040,http://www.iedb.org/epitope/136913,2IFF
http://www.iedb.org/assay/1772755,http://www.iedb.org/epitope/2138106,3G04
http://www.iedb.org/assay/1773345,http://www.iedb.org/epitope/2134821,2W9E
http://www.iedb.org/assay/1774310,http://www.iedb.org/epitope/243858,3K3Q
http://www.iedb.org/assay/1774335,http://www.iedb.org/epitope/144840,3EZJ
http://www.iedb.org/assay/1778425,http://www.iedb.org/epitope/177401,1DZB
http://www.iedb.org/assay/1779502,http://www.iedb.org/epitope/164527,3LZF
http://www.iedb.org/assay/1781548,http://www.iedb.org/epitope/2218016,1J1O
http://www.iedb.org/assay/1781566,http://www.iedb.org/epitope/2218023,3HFM
http://www.iedb.org/assay/1782053,http://www.iedb.org/epitope/2218005,1MEL
http://www.iedb.org/assay/1782372,http://www.iedb.org/epitope/2134668,1OP9
http://www.iedb.org/assay/1782467,http://www.iedb.org/epitope/2218013,1NDM
http://www.iedb.org/assay/1782468,http://www.iedb.org/epitope/2218037,1NDG
http://www.iedb.org/assay/1783630,http://www.iedb.org/epitope/2218036,2EKS
http://www.iedb.org/assay/1783632,http://www.iedb.org/epitope/2218035,2EIZ
http://www.iedb.org/assay/1783634,http://www.iedb.org/epitope/2218019,2YSS
http://www.iedb.org/assay/1784752,http://www.iedb.org/epitope/2218032,1YQV
http://www.iedb.org/assay/1784876,http://www.iedb.org/epitope/177401,1DZB
http://www.iedb.org/assay/1785160,http://www.iedb.org/epitope/2218018,3A67
http://www.iedb.org/assay/1785161,http://www.iedb.org/epitope/2218022,3A6C
http://www.iedb.org/assay/1785162,http://www.iedb.org/epitope/2218018,3A6B
http://www.iedb.org/assay/1785169,http://www.iedb.org/epitope/2218015,2DQJ
http://www.iedb.org/assay/1785170,http://www.iedb.org/epitope/2218015,2DQI
http://www.iedb.org/assay/1785171,http://www.iedb.org/epitope/2218015,2DQC
http://www.iedb.org/assay/1785172,http://www.iedb.org/epitope/2218015,2DQF
http://www.iedb.org/assay/1785173,http://www.iedb.org/epitope/2218015,2DQD
http://www.iedb.org/assay/1785174,http://www.iedb.org/epitope/2218015,2DQG
http://www.iedb.org/assay/1785175,http://www.iedb.org/epitope/2218015,2DQE
http://www.iedb.org/assay/1785176,http://www.iedb.org/epitope/2218015,2DQH
http://www.iedb.org/assay/1785956,http://www.iedb.org/epitope/2218002,1G7H
http://www.iedb.org/assay/1785957,http://www.iedb.org/epitope/2218002,1G7I
http://www.iedb.org/assay/1785958,http://www.iedb.org/epitope/2218002,1G7J
http://www.iedb.org/assay/1785959,http://www.iedb.org/epitope/2218002,1G7L
http://www.iedb.org/assay/1785960,http://www.iedb.org/epitope/2218002,1G7M
http://www.iedb.org/assay/1786205,http://www.iedb.org/epitope/2218039,1ZVY
http://www.iedb.org/assay/1786221,http://www.iedb.org/epitope/2218024,1ZVH
http://www.iedb.org/assay/1786226,http://www.iedb.org/epitope/2218004,1ZV5
http://www.iedb.org/assay/1786251,http://www.iedb.org/epitope/2218016,3D9A
http://www.iedb.org/assay/1786277,http://www.iedb.org/epitope/2218033,1P2C
http://www.iedb.org/assay/1786498,http://www.iedb.org/epitope/2218020,1IC4
http://www.iedb.org/assay/1786501,http://www.iedb.org/epitope/2218020,1IC5
http://www.iedb.org/assay/1786504,http://www.iedb.org/epitope/2218020,1IC7
http://www.iedb.org/assay/1786505,http://www.iedb.org/epitope/2218017,1UA6
http://www.iedb.org/assay/1786529,http://www.iedb.org/epitope/140437,1UAC
http://www.iedb.org/assay/1787337,http://www.iedb.org/epitope/2218010,1JTO
http://www.iedb.org/assay/1787341,http://www.iedb.org/epitope/2218010,1JTT
http://www.iedb.org/assay/1787342,http://www.iedb.org/epitope/137590,1JTP
http://www.iedb.org/assay/1787435,http://www.iedb.org/epitope/144838,3BGF
http://www.iedb.org/assay/1787454,http://www.iedb.org/epitope/2218026,1NBY
http://www.iedb.org/assay/1787455,http://www.iedb.org/epitope/2218026,1NBZ
http://www.iedb.org/assay/1787790,http://www.iedb.org/epitope/2218031,1MLC
http://www.iedb.org/assay/1788616,http://www.iedb.org/epitope/2218014,1XGP
http://www.iedb.org/assay/1789513,http://www.iedb.org/epitope/2218015,2DQF
http://www.iedb.org/assay/1789602,http://www.iedb.org/epitope/2218012,1RJC
http://www.iedb.org/assay/1789603,http://www.iedb.org/epitope/2218027,1RI8
http://www.iedb.org/assay/1792332,http://www.iedb.org/epitope/2218014,1XGQ
http://www.iedb.org/assay/1792333,http://www.iedb.org/epitope/2218014,1XGT
http://www.iedb.org/assay/1792334,http://www.iedb.org/epitope/2218014,1XGR
http://www.iedb.org/assay/1792335,http://www.iedb.org/epitope/2218014,1XGU
http://www.iedb.org/assay/1795677,http://www.iedb.org/epitope/226416,3GB7
http://www.iedb.org/assay/1795678,http://www.iedb.org/epitope/226416,3IGA
http://www.iedb.org/assay/1795771,http://www.iedb.org/epitope/142363,2IH3
http://www.iedb.org/assay/1795774,http://www.iedb.org/epitope/142363,2IH1
http://www.iedb.org/assay/1795807,http://www.iedb.org/epitope/2218010,1JTO
http://www.iedb.org/assay/1795808,http://www.iedb.org/epitope/137590,1JTP
http://www.iedb.org/assay/1795941,http://www.iedb.org/epitope/2144581,2R4R
http://www.iedb.org/assay/1795956,http://www.iedb.org/epitope/2144581,2R4S
http://www.iedb.org/assay/1796304,http://www.iedb.org/epitope/145017,2P49
http://www.iedb.org/assay/1796307,http://www.iedb.org/epitope/145018,2P4A
http://www.iedb.org/assay/1799393,http://www.iedb.org/epitope/177575,3GI9
http://www.iedb.org/assay/1800910,http://www.iedb.org/epitope/142365,2H8P
http://www.iedb.org/assay/1800936,http://www.iedb.org/epitope/142365,2HFE
http://www.iedb.org/assay/1800937,http://www.iedb.org/epitope/142365,2HG5
http://www.iedb.org/assay/1801206,http://www.iedb.org/epitope/142368,2ZUQ
http://www.iedb.org/assay/1801410,http://www.iedb.org/epitope/151776,1DVF
http://www.iedb.org/assay/1801490,http://www.iedb.org/epitope/2134632,2KH2
http://www.iedb.org/assay/1803592,http://www.iedb.org/epitope/143264,3LIZ
http://www.iedb.org/assay/1804642,http://www.iedb.org/epitope/2218016,1J1P
http://www.iedb.org/assay/1804645,http://www.iedb.org/epitope/2218016,1J1X
http://www.iedb.org/assay/1805463,http://www.iedb.org/epitope/142360,3HB3
http://www.iedb.org/assay/1805473,http://www.iedb.org/epitope/142360,3EHB
http://www.iedb.org/assay/1805474,http://www.iedb.org/epitope/139652,2IBZ
http://www.iedb.org/assay/1808740,http://www.iedb.org/epitope/177576,3GI8
http://www.iedb.org/assay/1811734,http://www.iedb.org/epitope/146711,2A0L
http://www.iedb.org/assay/1811736,http://www.iedb.org/epitope/226416,2BOC
http://www.iedb.org/assay/1811737,http://www.iedb.org/epitope/226416,2BOB
http://www.iedb.org/assay/1811743,http://www.iedb.org/epitope/2134526,2OZ4
